user id,VehicleModel,BatteryCapacitykWh,Charging_StationID,Charging StationLocation,Charging StartTime,Charging EndTime,Energy ConsumedKWh,ChargingDuration_hours,ChargingRateKW,ChargingCostUSD,TimeofDay,DayofWeek,State_of_Charge_Start%,State_of_Charge_End%,Distance_Driven_km,TemperatureC,VehicleAge_years,ChargerType,UserType
U0001,Tesla Model 3 ,99,S377,Chicago#,2023-10-23 09:42:53,2023-10-23 10:38:41.000000000,48.94,0.93,7.76,$18.52,Nigh,SATURDAY,43%,91%,148.74,35.54,7,dc fast charger,Commute
U0002,CHEVY BOLT,64,S171,Seattle#,2023-10-27 02:48:38,2023-10-27 08:37:14.000000000,59.54,5.81,48.3,$26.08,Nigh,Wednesday#,75%,80%,175.01,15.52,1,LEVEL 1,Long-Distance Traveler 
U0003,Audi e-Tro,54,S286,Los Angele,2023-04-07 05:51:35,2023-04-07 09:34:11.000000000,44.75,3.71,8.26,$24.63,Morning ,THURSDAY,71%,95%,140.4,34.66,2,Level ,Commuter 
U0004,Chevy Bolt ,46,S210,los angeles,2023-10-21 01:59:01,2023-10-21 03:24:49.000000000,34.33,1.43,38.37,$40.37,Morning ,Wednesda,74%,98%,261.44,-5.85,5,DC FAST CHARGER,long-distance traveler
U0005,Audi e-Tro,56,S456,new york,2023-11-26 17:22:50,2023-11-27 01:08:26.000000000,73.0,7.76,37.13,$26.48,Mornin,monday,52%,98%,190.91,7.97,9,dc fast charger,Commuter#
U0006,Nissan Leaf ,57,S363,Seattl,2023-07-17 01:57:58,2023-07-17 09:30:22.000000000,46.9,7.54,47.97,$45.65,morning,tuesday,12%,94%,284.75,-2.86,2,LEVEL 2,COMMUTER
U0007,Chevy Bol,88,S074,SEATTLE,2023-04-03 11:53:32,2023-04-03 14:50:32.000000000,71.54,2.95,15.51,$35.19,NIGHT,FRIDAY,36%,93%,237.85,27.17,9,dc fast charger,Long-Distance Travele
U0008,NISSAN LEAF,82,S442,new york,2023-05-15 12:22:04,2023-05-15 16:37:04.000000000,47.97,4.25,15.54,$4.9,Morning#,Monda,57%,80%,67.77,22.79,1,level 1,commuter
U0009,Nissan Lea,76,S120,CHICAGO,2023-07-28 23:19:11,2023-07-29 01:58:47.000000000,30.48,2.66,27.49,$22.09,Morning ,Wednesday ,75%,83%,48.01,10.2,8,Level 1#,Long-Distance Traveler#
U0010,Audi e-Tron ,40,S264,LOS ANGELES,2023-12-24 17:03:24,2023-12-24 18:28:36.000000000,49.58,1.42,32.64,$26.4,Night ,Wednesda,64%,85%,277.3,-5.22,0,Level 1 ,Commute
NA,NA,73,NA,NA,NA,NA,72.41,1.96,43.25,$14.27,NA,NA,12%,92%,271.93,9.07,0,NA,NA
U0012,TESLA MODEL 3,46,S330,New York ,2023-03-25 22:37:34,2023-03-25 23:26:46.000000000,79.3,0.82,10.07,$25.76,NIGHT,MONDAY,53%,84%,126.61,24.59,4,level 2,Long-Distance Traveler#
U0013,Tesla Model 3 ,98,S454,Los Angeles#,2023-05-04 10:44:15,2023-05-04 15:12:27.000000000,35.49,4.47,29.1,$35.9,afternoon,Wednesday ,52%,93%,275.13,-0.47,9,Level 1#,Commuter 
U0014,Nissan Leaf#,90,S461,Los Angeles#,2023-03-13 19:38:35,2023-03-14 02:46:23.000000000,42.72,7.13,28.18,$26.91,MORNING,wednesday,59%,92%,197.9,2.23,9,Level 2#,Long-Distance Traveler#
U0015,TESLA MODEL 3,54,S319,New York ,2023-10-01 04:56:00,2023-10-01 07:59:36.000000000,7.85,3.06,21.27,$25.26,Afternoon ,Frida,53%,97%,35.49,24.32,7,Level ,Commuter#
U0016,audi e-tron,73,S276,Chicago#,2023-02-14 11:11:06,2023-02-14 14:42:54.000000000,9.29,3.53,31.6,$42.0,Morning ,Sunday#,70%,92%,151.71,5.03,8,LEVEL 1,Long-Distance Traveler 
U0017,Tesla Model ,52,S233,SAN FRANCISCO,2023-06-02 17:29:38,2023-06-03 00:16:26.000000000,7.35,6.78,30.44,$35.6,EVENING,WEDNESDAY,38%,94%,255.52,34.89,6,dc fast charger,Long-Distance Traveler 
U0018,Hyundai Kon,34,S199,San Francisco ,2023-01-13 07:12:25,2023-01-13 13:31:01.000000000,13.24,6.31,7.44,$26.55,MORNING,Frida,11%,81%,244.06,-5.38,6,level 2,Long-Distance Travele
U0019,HYUNDAI KONA,63,S126,new york,2023-07-29 13:00:57,2023-07-29 17:14:09.000000000,54.92,4.22,5.96,$27.48,EVENING,Tuesday ,22%,80%,169.55,-9.57,1,level 2,Commuter#
U0020,Audi e-Tron#,50,S403,Los Angeles ,2023-06-12 05:17:02,2023-06-12 11:46:26.000000000,29.3,6.49,17.97,$33.15,Night#,Frida,10%,99%,66.64,32.74,7,level 1,COMMUTER
U0021,Nissan Leaf#,64,S121,Seattle ,2023-02-06 03:59:11,2023-02-06 09:47:47.000000000,49.53,5.81,45.47,$21.99,morning,Monda,64%,88%,45.19,19.66,1,Level 2#,LONG-DISTANCE TRAVELER
U0022,Tesla Model 3#,55,S048,San Francisco ,2023-09-14 09:22:41,2023-09-14 11:08:17.000000000,71.03,1.76,33.78,$32.25,Night ,Tuesda,59%,81%,121.44,26.76,4,DC Fast Charger#,LONG-DISTANCE TRAVELER
U0023,Tesla Model 3#,63,S265,Los Angeles ,2023-06-20 16:31:20,2023-06-20 18:13:20.000000000,27.52,1.7,17.03,$48.47,Afternoon ,friday,14%,97%,126.33,1.93,9,Level ,LONG-DISTANCE TRAVELER
NA,NA,39,NA,NA,NA,NA,58.21,3.88,34.74,$26.75,NA,NA,60%,81%,20.55,30.55,0,NA,NA
U0025,Tesla Model ,64,S184,San Francisco ,2023-03-09 13:53:55,2023-03-09 21:34:07.000000000,15.62,7.67,31.9,$3.77,Afternoon#,Monday ,64%,90%,129.41,2.53,6,Level 2#,long-distance traveler
U0026,Tesla Model ,49,S283,New York ,2023-12-13 07:49:12,2023-12-13 08:55:12.000000000,79.75,1.1,18.21,$23.79,morning,saturday,79%,91%,134.06,-3.5,4,Level 1#,Long-Distance Travele
U0027,Tesla Model ,41,S167,new york,2023-06-08 22:06:12,2023-06-09 03:56:36.000000000,48.22,5.84,36.41,$17.75,Morning#,Wednesda,18%,81%,149.03,3.45,0,level 2,long-distance traveler
U0028,Tesla Model ,46,S070,San Francisco#,2023-01-18 22:29:32,2023-01-19 03:41:32.000000000,75.48,5.2,2.83,$29.03,evening,thursday,36%,82%,298.43,18.39,1,Level 2#,Commuter 
U0029,Chevy Bolt#,75,S311,Chicag,2023-06-16 09:41:21,2023-06-16 15:55:45.000000000,53.45,6.24,28.95,$41.18,Evening#,Saturday#,57%,94%,76.34,38.65,8,DC Fast Charger ,Commuter#
U0030,Audi e-Tro,92,S472,Chicag,2023-12-05 16:19:29,2023-12-05 18:02:05.000000000,22.27,1.71,47.42,$38.03,morning,Thursday ,56%,85%,161.71,19.89,7,Level 1 ,long-distance traveler
NA,NA,93,NA,NA,NA,NA,43.36,7.75,36.29,$22.14,NA,NA,77%,94%,180.91,-0.82,4,NA,NA
U0032,Audi e-Tron#,45,S010,los angeles,2023-07-07 10:48:28,2023-07-07 15:41:52.000000000,73.7,4.89,9.72,$23.82,Mornin,Sunda,11%,82%,190.07,26.04,3,DC Fast Charger#,Commute
U0033,CHEVY BOLT,35,S449,los angeles,2023-11-17 17:47:48,2023-11-17 22:44:48.000000000,27.9,4.95,25.75,$6.7,NIGHT,Friday ,62%,84%,58.53,12.36,4,level 1,Commuter#
U0034,Hyundai Kona ,66,S452,Los Angeles ,2023-05-20 02:53:29,2023-05-20 10:23:29.000000000,23.98,7.5,26.95,$29.96,Nigh,sunday,46%,93%,161.05,36.1,7,Level 2#,Commuter#
U0035,AUDI E-TRON,95,S050,new york,2023-08-26 13:30:07,2023-08-26 15:37:55.000000000,78.06,2.13,22.12,$11.29,afternoon,saturday,20%,89%,94.85,13.83,5,DC FAST CHARGER,Commute
U0036,nissan leaf,40,S478,SAN FRANCISCO,2023-05-07 05:42:59,2023-05-07 07:26:47.000000000,26.01,1.73,35.53,$18.36,Evening#,Thursday ,58%,88%,186.37,10.91,0,level 1,Long-Distance Traveler#
U0037,tesla model 3,56,S052,SEATTLE,2023-08-13 20:08:01,2023-08-14 00:44:01.000000000,40.0,4.6,21.26,$37.82,Afternoon ,friday,32%,98%,81.94,0.25,8,Level ,Long-Distance Travele
U0038,NISSAN LEAF,82,S289,New Yor,2023-03-09 16:14:09,2023-03-09 19:29:45.000000000,45.18,3.26,13.59,$18.37,Mornin,Thursday#,75%,86%,239.12,25.2,0,level 1,COMMUTER
U0039,Audi e-Tron#,74,S294,los angeles,2023-12-14 07:03:17,2023-12-14 09:25:29.000000000,76.74,2.37,44.94,$25.76,afternoon,Saturda,51%,86%,192.97,26.63,5,level 1,COMMUTER
NA,NA,66,NA,NA,NA,NA,45.37,1.06,23.39,$39.71,NA,NA,51%,89%,144.25,25.75,2,NA,NA
U0041,Chevy Bolt ,68,S238,Chicag,2023-06-07 09:02:50,2023-06-07 10:13:38.000000000,21.98,1.18,11.45,$31.27,Night#,Sunday ,12%,98%,79.35,-5.39,9,DC Fast Charger ,Commuter 
U0042,nissan leaf,32,S170,Seattle#,2023-09-30 03:10:57,2023-09-30 08:14:33.000000000,52.17,5.06,42.86,$11.79,NIGHT,Thursday ,54%,93%,132.68,7.23,5,LEVEL 1,Long-Distance Traveler#
U0043,Nissan Leaf#,48,S258,San Francisco#,2023-12-15 08:43:38,2023-12-15 15:05:14.000000000,25.34,6.36,25.34,$30.42,Morning ,Thursday ,69%,90%,286.42,-0.68,9,Level ,Long-Distance Travele
U0044,Chevy Bolt ,43,S032,los angeles,2023-12-23 12:24:17,2023-12-23 14:00:53.000000000,66.5,1.61,23.34,$7.65,MORNING,Monday ,35%,80%,21.09,-1.41,7,Level 2#,Long-Distance Traveler 
U0045,Hyundai Kona ,35,S045,seattle,2023-04-13 03:10:58,2023-04-13 09:32:34.000000000,8.18,6.36,45.84,$38.46,Mornin,sunday,40%,91%,43.37,8.12,2,dc fast charger,Commute
U0046,Audi e-Tron ,69,S321,Seattle ,2023-07-20 05:29:19,2023-07-20 07:43:07.000000000,67.18,2.23,23.66,$41.18,Afternoo,Monda,61%,96%,61.21,5.81,1,Level 1#,Commuter#
U0047,TESLA MODEL 3,53,S038,Los Angeles ,2023-01-01 10:11:37,2023-01-01 12:28:25.000000000,7.72,2.28,45.31,$33.56,afternoon,Saturda,35%,87%,47.17,15.21,1,LEVEL 2,Long-Distance Traveler#
U0048,Nissan Leaf#,58,S195,SAN FRANCISCO,2023-07-23 18:28:18,2023-07-24 00:01:54.000000000,25.94,5.56,49.98,$3.25,AFTERNOON,MONDAY,79%,99%,278.82,31.87,3,level 1,Long-Distance Traveler#
U0049,Nissan Leaf#,51,S182,new york,2023-12-24 20:52:17,2023-12-25 03:19:53.000000000,53.86,6.46,21.78,$38.72,AFTERNOON,Monday#,20%,83%,70.04,10.14,8,Level ,Commuter 
U0050,Tesla Model ,60,S230,Los Angele,2023-09-23 11:18:16,2023-09-23 17:38:04.000000000,51.41,6.33,32.1,$16.7,Evening ,THURSDAY,11%,94%,113.61,37.13,1,Level 2#,LONG-DISTANCE TRAVELER
U0051,Hyundai Kon,32,S355,Los Angeles#,2023-11-16 09:38:27,2023-11-16 10:15:39.000000000,17.35,0.62,10.53,$20.39,morning,Saturday#,48%,80%,244.87,9.09,5,Level ,LONG-DISTANCE TRAVELER
U0052,chevy bolt,67,S220,San Francisco ,2023-05-14 03:15:09,2023-05-14 06:09:09.000000000,65.47,2.9,29.68,$23.41,Mornin,Sunda,32%,81%,50.92,-5.26,7,DC Fast Charger ,Long-Distance Traveler 
U0053,Audi e-Tron#,36,S332,SAN FRANCISCO,2023-01-18 13:50:54,2023-01-18 14:35:18.000000000,17.75,0.74,47.37,$25.39,Morning#,tuesday,54%,85%,253.58,37.38,0,DC FAST CHARGER,COMMUTER
U0054,CHEVY BOLT,98,S053,Los Angeles#,2023-07-23 07:23:41,2023-07-23 09:06:53.000000000,65.01,1.72,15.23,$31.32,Nigh,friday,73%,86%,206.17,27.25,0,LEVEL 1,commuter
NA,NA,75,NA,NA,NA,NA,35.92,3.65,2.88,$48.09,NA,NA,71%,94%,90.58,-8.14,5,NA,NA
U0056,Tesla Model 3#,43,S102,SAN FRANCISCO,2023-06-10 01:06:05,2023-06-10 01:43:53.000000000,38.36,0.63,30.46,$41.83,Night ,Thursday#,29%,94%,21.48,2.1,5,DC Fast Charger ,LONG-DISTANCE TRAVELER
U0057,Audi e-Tron ,30,S213,Chicago#,2023-07-02 15:32:10,2023-07-02 16:36:58.000000000,38.51,1.08,9.33,$37.54,Night ,wednesday,30%,80%,211.77,3.47,8,Level 1 ,commuter
U0058,Audi e-Tron ,47,S090,New Yor,2023-01-25 05:47:37,2023-01-25 11:04:25.000000000,40.38,5.28,24.69,$22.2,Night ,Tuesda,37%,91%,290.44,5.9,9,DC FAST CHARGER,COMMUTER
